,id,name,powerstats,biography,appearance,work,connections,image
226,227,Domino,"{""intelligence"": ""63"", ""strength"": ""10"", ""speed"": ""27"", ""durability"": ""28"", ""power"": ""49"", ""combat"": ""74""}","{""full-name"": ""Neena Thurman"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""Dom"", ""Samantha Wu"", ""Tamara Winter"", ""Elena Vladescu"", ""Jessica Marie Costello"", ""Luisa Mendoza"", ""Beatrice"", ""Christina Elizabeth Alioso"", ""Priscilla Sutherland"", ""Hope Eldridge""], ""place-of-birth"": ""Project: Armageddon base, Everglades, Florida"", ""first-appearance"": ""X-Force #8 (March, 1992)"", ""publisher"": ""Marvel Comics"", ""alignment"": ""good""}","{""gender"": ""Female"", ""race"": ""Human"", ""height"": [""5'8"", ""173 cm""], ""weight"": [""120 lb"", ""54 kg""], ""eye-color"": ""Blue"", ""hair-color"": ""Black""}","{""occupation"": ""-"", ""base"": ""-""}","{""group-affiliation"": ""X-Men; formerly X-Force; 198; X-Corporation; The Underground; X-Force; Six Pack"", ""relatives"": ""Beatrice (mother), Lazarus (brother), Milo Thurman (husband, deceased)""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/902.jpg""}"
227,228,Donatello,"{""intelligence"": ""88"", ""strength"": ""14"", ""speed"": ""46"", ""durability"": ""60"", ""power"": ""58"", ""combat"": ""75""}","{""full-name"": """", ""alter-egos"": ""No alter egos found."", ""aliases"": [""Don"", ""Donnie""], ""place-of-birth"": ""-"", ""first-appearance"": ""Teenage Mutant Ninja Turtles #1"", ""publisher"": ""IDW Publishing"", ""alignment"": ""good""}","{""gender"": ""Male"", ""race"": ""Mutant"", ""height"": [""-"", ""0 cm""], ""weight"": [""- lb"", ""0 kg""], ""eye-color"": ""Green"", ""hair-color"": ""No Hair""}","{""occupation"": ""-"", ""base"": ""-""}","{""group-affiliation"": ""-"", ""relatives"": ""Leonardo (brother), Michelangelo (brother), Raphael (brother)""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/10330.jpg""}"
228,229,Donna Troy,"{""intelligence"": ""null"", ""strength"": ""89"", ""speed"": ""null"", ""durability"": ""null"", ""power"": ""null"", ""combat"": ""null""}","{""full-name"": ""Donna Hinckley Stacey Troy"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""Donna Troy"", ""Wonder Girl"", ""Darkstar"", ""Wonder Woman"", ""Troia""], ""place-of-birth"": ""-"", ""first-appearance"": ""The Brave and the Bold Vol. 1 #60 (1965)"", ""publisher"": ""DC Comics"", ""alignment"": ""good""}","{""gender"": ""Female"", ""race"": ""Amazon"", ""height"": [""5'9"", ""175 cm""], ""weight"": [""140 lb"", ""63 kg""], ""eye-color"": ""Blue"", ""hair-color"": ""Black""}","{""occupation"": ""-"", ""base"": ""-""}","{""group-affiliation"": ""Titans of Myth, Teen Titans, Darkstars"", ""relatives"": ""-""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/806.jpg""}"
229,230,Doomsday,"{""intelligence"": ""75"", ""strength"": ""100"", ""speed"": ""67"", ""durability"": ""100"", ""power"": ""100"", ""combat"": ""90""}","{""full-name"": ""Doomsday"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""The Ultimate Lifeform""], ""place-of-birth"": ""Krypton"", ""first-appearance"": ""Superman: The Man of Steel #17 (Nov 1992)"", ""publisher"": ""DC Comics"", ""alignment"": ""bad""}","{""gender"": ""Male"", ""race"": ""Alien"", ""height"": [""8'0"", ""244 cm""], ""weight"": [""915 lb"", ""412 kg""], ""eye-color"": ""Red"", ""hair-color"": ""White""}","{""occupation"": ""Destroyer"", ""base"": ""-""}","{""group-affiliation"": ""Secret Society of Super Villains, Suicide Squad, Apokolips"", ""relatives"": ""-""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/679.jpg""}"
230,231,Doppelganger,"{""intelligence"": ""8"", ""strength"": ""63"", ""speed"": ""60"", ""durability"": ""95"", ""power"": ""69"", ""combat"": ""84""}","{""full-name"": """", ""alter-egos"": ""No alter egos found."", ""aliases"": [""The Spider-Man Doppelganger"", ""Spider-Doppelganger"", ""Mindless One""], ""place-of-birth"": ""The Dimension of Manifestations"", ""first-appearance"": ""Infinity War #1 (1992)"", ""publisher"": ""Marvel Comics"", ""alignment"": ""bad""}","{""gender"": ""Male"", ""race"": ""null"", ""height"": [""6'5"", ""196 cm""], ""weight"": [""230 lb"", ""104 kg""], ""eye-color"": ""White"", ""hair-color"": ""No Hair""}","{""occupation"": ""-"", ""base"": ""-""}","{""group-affiliation"": ""Formerly Carnage Family; Magus' doppelgangers; operative of Demogoblin"", ""relatives"": ""Anthropomorpho (creator); Hellspawn, Moonshade, many other doppelgangers (brethren)""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/1320.jpg""}"
231,232,Dormammu,"{""intelligence"": ""88"", ""strength"": ""95"", ""speed"": ""83"", ""durability"": ""100"", ""power"": ""100"", ""combat"": ""80""}","{""full-name"": ""Dormammu"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""The Dread One"", ""Eater of Souls"", ""Lord of Chaos"", ""Lord of Darkness"", ""the Great Enigma"", ""Flyx""], ""place-of-birth"": ""Faltine Dimension"", ""first-appearance"": ""Strange Tales #126 (1964)"", ""publisher"": ""Marvel Comics"", ""alignment"": ""bad""}","{""gender"": ""Male"", ""race"": ""null"", ""height"": [""6'1"", ""185 cm""], ""weight"": [""- lb"", ""0 kg""], ""eye-color"": ""Yellow"", ""hair-color"": ""No Hair""}","{""occupation"": ""Despot, conqueror"", ""base"": ""-""}","{""group-affiliation"": ""Lords of the Splinter Realms, Lords of the Netherworlds; allied with Umar, Loki, Doctor Doom, Underchild, others"", ""relatives"": ""Sinifer (parent/genitor), Umar (sister), Clea (niece), Doctor Strange (nephew-in-law), Satannish (alleged offspring)""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/1359.jpg""}"
232,233,Dr Manhattan,"{""intelligence"": ""88"", ""strength"": ""100"", ""speed"": ""42"", ""durability"": ""100"", ""power"": ""100"", ""combat"": ""42""}","{""full-name"": ""Jonathan Osterman"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""Jon Osterman"", ""Doctor Manhattan""], ""place-of-birth"": ""-"", ""first-appearance"": ""Watchmen #1 (September, 1986)"", ""publisher"": ""DC Comics"", ""alignment"": ""good""}","{""gender"": ""Male"", ""race"": ""Human / Cosmic"", ""height"": [""-"", ""0 cm""], ""weight"": [""- lb"", ""0 kg""], ""eye-color"": ""White"", ""hair-color"": ""No Hair""}","{""occupation"": ""Scientist"", ""base"": ""New York City; formerly Mars""}","{""group-affiliation"": ""Watchmen, Crimebusters"", ""relatives"": ""-""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/884.jpg""}"
233,234,Drax the Destroyer,"{""intelligence"": ""56"", ""strength"": ""80"", ""speed"": ""25"", ""durability"": ""85"", ""power"": ""46"", ""combat"": ""65""}","{""full-name"": ""Arthur Sampson Douglas"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""-""], ""place-of-birth"": ""Burbank, California"", ""first-appearance"": ""Iron Man #55 (February, 1973)"", ""publisher"": ""Marvel Comics"", ""alignment"": ""good""}","{""gender"": ""Male"", ""race"": ""Human / Altered"", ""height"": [""6'4"", ""193 cm""], ""weight"": [""680 lb"", ""306 kg""], ""eye-color"": ""Red"", ""hair-color"": ""No Hair""}","{""occupation"": ""-"", ""base"": ""C.I.T.T.; formerly Monster Isle and Titan""}","{""group-affiliation"": ""Guardians of the Galaxy; formerly Infinity Watch, Secret Defenders, United Front, Selects of the Phalanx"", ""relatives"": ""Yvette Steckley Douglas (wife, deceased), Heather Douglas (aka Moondragon, daughter), Pamela Douglas (aka Sundragon, niece), Cammille Benally (foster daughter), Venom (former symbiote)""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/10016.jpg""}"
234,235,Ego,"{""intelligence"": ""88"", ""strength"": ""80"", ""speed"": ""83"", ""durability"": ""99"", ""power"": ""71"", ""combat"": ""28""}","{""full-name"": ""Ego"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""The Living Planet""], ""place-of-birth"": ""The Black Galaxy"", ""first-appearance"": ""THOR #132"", ""publisher"": ""Marvel Comics"", ""alignment"": ""bad""}","{""gender"": ""-"", ""race"": ""null"", ""height"": [""-"", ""0 cm""], ""weight"": [""- lb"", ""0 kg""], ""eye-color"": ""-"", ""hair-color"": ""-""}","{""occupation"": ""Inapplicable"", ""base"": ""Mobile""}","{""group-affiliation"": ""-"", ""relatives"": ""Inapplicable""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/6.jpg""}"
235,236,Elastigirl,"{""intelligence"": ""63"", ""strength"": ""32"", ""speed"": ""33"", ""durability"": ""95"", ""power"": ""52"", ""combat"": ""70""}","{""full-name"": ""Helen Parr"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""Mrs Incredible""], ""place-of-birth"": ""-"", ""first-appearance"": ""The Incredibles (Movies, 2004)"", ""publisher"": ""Dark Horse Comics"", ""alignment"": ""good""}","{""gender"": ""Female"", ""race"": ""Human"", ""height"": [""5'6"", ""168 cm""], ""weight"": [""125 lb"", ""56 kg""], ""eye-color"": ""Brown"", ""hair-color"": ""Brown""}","{""occupation"": ""-"", ""base"": ""-""}","{""group-affiliation"": ""Incredible Family (co-leader), National Supers Agency (ties), Edna Mode (receives costumes and gadgets from her), Frozone (long-time friend), Mirage (ally), Snug Porter (receives aircraft from him)"", ""relatives"": ""Robert Parr(Mr Incredible, husband), Violet Parr(Violet, daughter), Dashiell Parr (Dash, son), Jack-jack (son)""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/870.jpg""}"
236,237,Electro,"{""intelligence"": ""69"", ""strength"": ""10"", ""speed"": ""50"", ""durability"": ""56"", ""power"": ""67"", ""combat"": ""64""}","{""full-name"": ""Maxwell Dillon"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""-""], ""place-of-birth"": ""-"", ""first-appearance"": ""Amazing Spider-Man #9 (1964)"", ""publisher"": ""Marvel Comics"", ""alignment"": ""bad""}","{""gender"": ""Male"", ""race"": ""Human"", ""height"": [""5'11"", ""180 cm""], ""weight"": [""165 lb"", ""74 kg""], ""eye-color"": ""Blue"", ""hair-color"": ""Auburn""}","{""occupation"": ""Professional criminal"", ""base"": ""-""}","{""group-affiliation"": ""Sinister Six formerly Emissaries of Evil, Frightful Four and Sinister Twelve"", ""relatives"": ""Norma Lynn Dillon (ex-wife), Jonathan Dillon (father, deceased), Anita Dillon (mother, deceased)""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/7.jpg""}"
237,238,Elektra,"{""intelligence"": ""63"", ""strength"": ""11"", ""speed"": ""30"", ""durability"": ""28"", ""power"": ""59"", ""combat"": ""100""}","{""full-name"": ""Elektra Natchios"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""Erynys (evil self)""], ""place-of-birth"": ""-"", ""first-appearance"": ""Daredevil #168"", ""publisher"": ""Marvel Comics"", ""alignment"": ""good""}","{""gender"": ""Female"", ""race"": ""Human"", ""height"": [""5'9"", ""175 cm""], ""weight"": [""130 lb"", ""59 kg""], ""eye-color"": ""Blue"", ""hair-color"": ""Black""}","{""occupation"": ""Assassin, adventurer, mercenary, former student, dancer"", ""base"": ""-""}","{""group-affiliation"": ""S.H.I.E.L.D.; formerly Thunderbolts, Hand, Chaste, Heroes For Hire, Code Red, partner of Daredevil and Deadpool"", ""relatives"": ""Hugo Kostas Natchios (father, deceased), Christina Natchios (mother, deceased), Orestez Natchios (older brother), Demetrios Natchios (Uncle), Alexia Natchios (Aunt)""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/625.jpg""}"
238,239,Elle Bishop,"{""intelligence"": ""50"", ""strength"": ""8"", ""speed"": ""12"", ""durability"": ""42"", ""power"": ""63"", ""combat"": ""42""}","{""full-name"": """", ""alter-egos"": ""No alter egos found."", ""aliases"": [""Cindy""], ""place-of-birth"": ""-"", ""first-appearance"": ""Heroes S02E05 - Fight or Flight"", ""publisher"": ""NBC - Heroes"", ""alignment"": ""bad""}","{""gender"": ""Female"", ""race"": ""null"", ""height"": [""-"", ""0 cm""], ""weight"": [""- lb"", ""0 kg""], ""eye-color"": ""Blue"", ""hair-color"": ""Blond""}","{""occupation"": ""Agent of the Company"", ""base"": ""-""}","{""group-affiliation"": ""-"", ""relatives"": ""Bob Bishop (Father)""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/1021.jpg""}"
239,240,Elongated Man,"{""intelligence"": ""75"", ""strength"": ""10"", ""speed"": ""33"", ""durability"": ""90"", ""power"": ""44"", ""combat"": ""40""}","{""full-name"": ""Ralph Dibny"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""Alvin Burgson; Molder""], ""place-of-birth"": ""-"", ""first-appearance"": ""Flash #112 (1960)"", ""publisher"": ""DC Comics"", ""alignment"": ""good""}","{""gender"": ""Male"", ""race"": ""null"", ""height"": [""6'1"", ""185 cm""], ""weight"": [""178 lb"", ""80 kg""], ""eye-color"": ""Blue"", ""hair-color"": ""Red""}","{""occupation"": ""Detective"", ""base"": ""Opal City, Central City""}","{""group-affiliation"": ""Justice League of America, Justice League Europe, Super Buddies, Outsiders, Croatoans, Black Lantern Corps"", ""relatives"": ""Sue Dibny (wife, deceased); Ken Dibny (brother); Jake Dibny (uncle); Jim (uncle-in-law)""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/1381.jpg""}"
240,241,Emma Frost,"{""intelligence"": ""75"", ""strength"": ""63"", ""speed"": ""35"", ""durability"": ""90"", ""power"": ""100"", ""combat"": ""42""}","{""full-name"": ""Emma Frost"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""Storm"", ""White Queen""], ""place-of-birth"": ""Boston, Massachusetts"", ""first-appearance"": ""UNCANNY X-MEN #132"", ""publisher"": ""Marvel Comics"", ""alignment"": ""good""}","{""gender"": ""Female"", ""race"": ""null"", ""height"": [""5'10'"", ""178 cm""], ""weight"": [""144 lb"", ""65 kg""], ""eye-color"": ""Blue"", ""hair-color"": ""Blond""}","{""occupation"": ""-"", ""base"": ""(current) Emma Frost operates from the Massachusetts Academy, Snow Valley, Massachusetts, (former) Hellfire Club mansion in New York City, a home in the Berkshire Mountains in Massachusetts (near the Massachusetts Academy), and places of residence in vari""}","{""group-affiliation"": ""Active member of the X-Men, Instructor for Generation X, The Inner Circle of the Hellfire Club"", ""relatives"": ""Winston Frost (father), Hazel Frost (mother), Christian Frost (brother) Adrienne Frost (sister, deceased,) Cordelia Frost (sister)""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/325.jpg""}"
241,242,Enchantress,"{""intelligence"": ""63"", ""strength"": ""14"", ""speed"": ""25"", ""durability"": ""60"", ""power"": ""100"", ""combat"": ""40""}","{""full-name"": ""June Moone"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""Anita Soulfeeda"", ""Soulsinger""], ""place-of-birth"": ""-"", ""first-appearance"": ""Strange Adventures #187"", ""publisher"": ""DC Comics"", ""alignment"": ""good""}","{""gender"": ""Female"", ""race"": ""Human"", ""height"": [""5'6"", ""168 cm""], ""weight"": [""126 lb"", ""57 kg""], ""eye-color"": ""Blue"", ""hair-color"": ""Blond""}","{""occupation"": ""Artist; Magician"", ""base"": ""-""}","{""group-affiliation"": ""Forgotten Villains, Sentinels of Magic, Shadowpact, Suicide Squad"", ""relatives"": ""-""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/687.jpg""}"
242,243,Energy,"{""intelligence"": ""null"", ""strength"": ""null"", ""speed"": ""null"", ""durability"": ""null"", ""power"": ""null"", ""combat"": ""null""}","{""full-name"": """", ""alter-egos"": ""No alter egos found."", ""aliases"": [""-""], ""place-of-birth"": ""-"", ""first-appearance"": ""-"", ""publisher"": ""HarperCollins"", ""alignment"": ""good""}","{""gender"": ""Female"", ""race"": ""null"", ""height"": [""-"", ""0 cm""], ""weight"": [""- lb"", ""0 kg""], ""eye-color"": ""-"", ""hair-color"": ""-""}","{""occupation"": ""-"", ""base"": ""-""}","{""group-affiliation"": ""-"", ""relatives"": ""-""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/1155.jpg""}"
243,244,ERG-1,"{""intelligence"": ""null"", ""strength"": ""null"", ""speed"": ""null"", ""durability"": ""null"", ""power"": ""null"", ""combat"": ""null""}","{""full-name"": """", ""alter-egos"": ""No alter egos found."", ""aliases"": [""-""], ""place-of-birth"": ""-"", ""first-appearance"": ""-"", ""publisher"": ""DC Comics"", ""alignment"": ""good""}","{""gender"": ""Male"", ""race"": ""null"", ""height"": [""-"", ""0 cm""], ""weight"": [""- lb"", ""0 kg""], ""eye-color"": ""-"", ""hair-color"": ""-""}","{""occupation"": ""-"", ""base"": ""-""}","{""group-affiliation"": ""-"", ""relatives"": ""-""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/1187.jpg""}"
244,245,Ethan Hunt,"{""intelligence"": ""75"", ""strength"": ""11"", ""speed"": ""29"", ""durability"": ""30"", ""power"": ""26"", ""combat"": ""95""}","{""full-name"": ""Ethan Hunt"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""-""], ""place-of-birth"": ""Madison, Wisconsin, United States of America"", ""first-appearance"": ""-"", ""publisher"": ""null"", ""alignment"": ""good""}","{""gender"": ""Male"", ""race"": ""Human"", ""height"": [""5'6"", ""168 cm""], ""weight"": [""- lb"", ""0 kg""], ""eye-color"": ""Brown"", ""hair-color"": ""Brown""}","{""occupation"": ""IMF Agent, Training Officer (former), Field Agent, Field Team Leader"", ""base"": ""-""}","{""group-affiliation"": ""Formerly: United States Army"", ""relatives"": ""Nathan Hunt (Father), Margaret Hunt (Mother), Donald Hunt (Uncle)""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/10476.jpg""}"
245,246,Etrigan,"{""intelligence"": ""50"", ""strength"": ""85"", ""speed"": ""17"", ""durability"": ""100"", ""power"": ""100"", ""combat"": ""50""}","{""full-name"": ""Jason Blood"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""Demon""], ""place-of-birth"": ""Hell"", ""first-appearance"": ""Demon #1 (September, 1972)"", ""publisher"": ""DC Comics"", ""alignment"": ""neutral""}","{""gender"": ""Male"", ""race"": ""Demon"", ""height"": [""6'4"", ""193 cm""], ""weight"": [""452 lb"", ""203 kg""], ""eye-color"": ""Red"", ""hair-color"": ""No Hair""}","{""occupation"": ""-"", ""base"": ""Hell""}","{""group-affiliation"": ""Formerly Justice League of America, Spirit Squad"", ""relatives"": ""Belial (father), Raan va Daath (mother), Merlin (half Brother)""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/10429.jpg""}"
246,247,Evil Deadpool,"{""intelligence"": ""69"", ""strength"": ""32"", ""speed"": ""50"", ""durability"": ""100"", ""power"": ""100"", ""combat"": ""100""}","{""full-name"": ""Wade Wilson"", ""alter-egos"": ""Deadpool, Venompool"", ""aliases"": [""Dreadpool""], ""place-of-birth"": ""-"", ""first-appearance"": ""Deadpool Vol 2 #44 (December, 2011)"", ""publisher"": ""Deadpool"", ""alignment"": ""bad""}","{""gender"": ""Male"", ""race"": ""Mutant"", ""height"": [""6'2"", ""188 cm""], ""weight"": [""210 lb"", ""95 kg""], ""eye-color"": ""White"", ""hair-color"": ""Red""}","{""occupation"": ""Mercenary, Assasin"", ""base"": ""-""}","{""group-affiliation"": ""Evil Deadpool Corps"", ""relatives"": ""-""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/10090.jpg""}"
247,248,Evilhawk,"{""intelligence"": ""50"", ""strength"": ""32"", ""speed"": ""33"", ""durability"": ""70"", ""power"": ""85"", ""combat"": ""64""}","{""full-name"": ""Dargin Bokk"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""-""], ""place-of-birth"": ""-"", ""first-appearance"": ""Darkhawk #20 (October, 1992)"", ""publisher"": ""Marvel Comics"", ""alignment"": ""bad""}","{""gender"": ""Male"", ""race"": ""Alien"", ""height"": [""6'3"", ""191 cm""], ""weight"": [""235 lb"", ""106 kg""], ""eye-color"": ""Red"", ""hair-color"": ""Black""}","{""occupation"": ""Crimelord"", ""base"": ""(Formerly) planet Luq""}","{""group-affiliation"": ""-"", ""relatives"": ""-""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/1516.jpg""}"
248,249,Exodus,"{""intelligence"": ""63"", ""strength"": ""81"", ""speed"": ""28"", ""durability"": ""28"", ""power"": ""100"", ""combat"": ""70""}","{""full-name"": ""Bennet du Paris"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""Paris Bennet""], ""place-of-birth"": ""-"", ""first-appearance"": ""X-Factor #92 (July, 1993)"", ""publisher"": ""Marvel Comics"", ""alignment"": ""bad""}","{""gender"": ""Male"", ""race"": ""Mutant"", ""height"": [""6'0"", ""183 cm""], ""weight"": [""195 lb"", ""88 kg""], ""eye-color"": ""Blue"", ""hair-color"": ""Black""}","{""occupation"": ""Terrorist, would-be conqueror, Former leader of the Acolytes, Crusader"", ""base"": ""Currently mobile, Formerly Avalon""}","{""group-affiliation"": ""Acolytes, formerly Brotherhood and Marauders"", ""relatives"": ""-""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/1517.jpg""}"
249,250,Fabian Cortez,"{""intelligence"": ""null"", ""strength"": ""null"", ""speed"": ""null"", ""durability"": ""null"", ""power"": ""null"", ""combat"": ""null""}","{""full-name"": ""Fabian Cortez"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""-""], ""place-of-birth"": ""Place of birth unknown"", ""first-appearance"": ""X-Men (Vol. 2) #1"", ""publisher"": ""Marvel Comics"", ""alignment"": ""bad""}","{""gender"": ""-"", ""race"": ""null"", ""height"": [""6'5"", ""196 cm""], ""weight"": [""214 lb"", ""96 kg""], ""eye-color"": ""Blue"", ""hair-color"": ""Brown""}","{""occupation"": ""Unknown"", ""base"": ""Genosha at time of death; Formerly Asteroid M""}","{""group-affiliation"": ""Acolytes at time of death; Formerly Upstarts"", ""relatives"": ""Annemarie Cortez (sister, deceased)""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/24.jpg""}"
250,251,Falcon,"{""intelligence"": ""38"", ""strength"": ""13"", ""speed"": ""50"", ""durability"": ""28"", ""power"": ""22"", ""combat"": ""64""}","{""full-name"": ""Sam Wilson"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""Sam Wilson"", ""(formerly) Captain America"", ""Blackbird"", ""Blackwing"", ""Brother Superhero""], ""place-of-birth"": ""New York, New York"", ""first-appearance"": ""Captain America #117 (September, 1969)"", ""publisher"": ""Marvel Comics"", ""alignment"": ""good""}","{""gender"": ""Male"", ""race"": ""Human"", ""height"": [""6'2"", ""188 cm""], ""weight"": [""240 lb"", ""108 kg""], ""eye-color"": ""Brown"", ""hair-color"": ""Black""}","{""occupation"": ""Crimefighter, (former) freelance artist"", ""base"": ""New York, New York; formerly Avengers Mansion, New York City, New York; S.H.I.E.L.D. Helicarrier.""}","{""group-affiliation"": ""Mighty Avengers, Avengers, S.H.I.E.L.D.; partner of Redwing; formerly Heroes For Hire, partner of Captain America, Secret Avengers, S.H.I.E.L.D. Super-Agents (leader), Defenders, ally of Secret Warriors , Defenders for a Day"", ""relatives"": ""Paul Wilson (father, deceased); Darlene Wilson (mother, deceased); Sarah Wilson (sister), Gideon Wilson (brother); Jim Wilson (nephew, deceased); Jody Casper (nephew)""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/56.jpg""}"
251,252,Fallen One II,"{""intelligence"": ""88"", ""strength"": ""85"", ""speed"": ""83"", ""durability"": ""100"", ""power"": ""100"", ""combat"": ""56""}","{""full-name"": """", ""alter-egos"": ""No alter egos found."", ""aliases"": [""-""], ""place-of-birth"": ""-"", ""first-appearance"": ""-"", ""publisher"": ""Marvel Comics"", ""alignment"": ""bad""}","{""gender"": ""Male"", ""race"": ""null"", ""height"": [""-"", ""0 cm""], ""weight"": [""- lb"", ""0 kg""], ""eye-color"": ""Black"", ""hair-color"": ""Blue""}","{""occupation"": ""-"", ""base"": ""-""}","{""group-affiliation"": ""Heralds of Galactus"", ""relatives"": ""-""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/1051.jpg""}"
252,253,Faora,"{""intelligence"": ""88"", ""strength"": ""95"", ""speed"": ""75"", ""durability"": ""100"", ""power"": ""98"", ""combat"": ""90""}","{""full-name"": ""Faora Hu-Ul"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""Katie""], ""place-of-birth"": ""-"", ""first-appearance"": ""Action Comics #471 (May, 1977)"", ""publisher"": ""DC Comics"", ""alignment"": ""bad""}","{""gender"": ""Female"", ""race"": ""Kryptonian"", ""height"": [""-"", ""0 cm""], ""weight"": [""- lb"", ""0 kg""], ""eye-color"": ""-"", ""hair-color"": ""-""}","{""occupation"": ""Serial killer"", ""base"": ""Phantom Zone; formerly Krypton""}","{""group-affiliation"": ""Phantom Zone Criminals"", ""relatives"": ""Hu-Ul (father, presumably deceased)""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/1502.jpg""}"
253,254,Feral,"{""intelligence"": ""38"", ""strength"": ""28"", ""speed"": ""45"", ""durability"": ""28"", ""power"": ""27"", ""combat"": ""70""}","{""full-name"": ""Maria Callasantos"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""-""], ""place-of-birth"": ""Place of birth unknown"", ""first-appearance"": ""NEW MUTANTS #99"", ""publisher"": ""Marvel Comics"", ""alignment"": ""good""}","{""gender"": ""-"", ""race"": ""null"", ""height"": [""5'9"", ""175 cm""], ""weight"": [""110 lb"", ""50 kg""], ""eye-color"": ""Yellow (without irises)"", ""hair-color"": ""Orange / White""}","{""occupation"": ""Formerly Adventurer, Terrorist"", ""base"": ""Base of operations unknown""}","{""group-affiliation"": ""Formerly Morlocks, X-Force, Mutant Liberation Front"", ""relatives"": ""Mr. Callasantos (father, first name unrevealed, deceased), Marcella Callasantos (mother, deceased), Lucia Callasantos (Thornn, sister), Matteo Callasantos (brother, deceased), Carolina Callasantos (sister, deceased)""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/57.jpg""}"
254,255,Fighting Spirit,"{""intelligence"": ""null"", ""strength"": ""null"", ""speed"": ""null"", ""durability"": ""null"", ""power"": ""null"", ""combat"": ""null""}","{""full-name"": ""Carol Carter"", ""alter-egos"": ""No alter egos found."", ""aliases"": [""Yankette"", ""Fighting Yank II""], ""place-of-birth"": ""-"", ""first-appearance"": ""-"", ""publisher"": ""DC Comics"", ""alignment"": ""good""}","{""gender"": ""Female"", ""race"": ""null"", ""height"": [""-"", ""0 cm""], ""weight"": [""- lb"", ""0 kg""], ""eye-color"": ""-"", ""hair-color"": ""Red""}","{""occupation"": ""-"", ""base"": ""SMASH HQ, Antarctica, Earth; New Lancaster""}","{""group-affiliation"": ""Fighting Yank I, SMASH"", ""relatives"": ""Bruce Carter (father)""}","{""url"": ""https://www.superherodb.com/pictures2/portraits/10/100/1167.jpg""}"
